PKDMainSection,PKDMainSectionTitle
A,"ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO"
B,GÓRNICTWO I WYDOBYWANIE
C,PRZETWÓRSTWO PRZEMYSŁOWE
D,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ, GAZ, WODĘ, POWIETRZE"
E,"DOSTAWA WODY, GOSPODAROWANIE ŚCIEKAMI, ODPADAMI, REKULTYWACJĄ"
F,BUDOWNICTWO
G,HANDEL I NAPRAWA POJAZDÓW SAMOCHODOWYCH I MOTOCYKLI
H,TRANSPORT I GOSPODARKA MAGAZYNOWA
I,DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI
J,INFORMACJA I KOMUNIKACJA
K,DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA
L,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI
M,"DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA"
N,"USŁUGI ADMINISTROWANIA, DZIAŁALNOŚĆ WSPIERAJĄCA"
O,"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA, ZABEZPIECZENIA SPOŁECZNE"
P,EDUKACJA
Q,OPIEKA ZDROWOTNA I POMOC SPOŁECZNA
R,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, ROZRYWKĄ I REKREACJĄ"
S,POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA
T,"GOSPODARSTWA DOMOWE Z PRACOWNIKAMI, PRODUKUJĄCE WYROBY"
U,ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE
